,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
423,2,2015-08-22 17:02:02,,STILL,"university,point_of_interest,establishment",Clear,24.7,3.0,0.0,0.0,6.0,325.0,17:02:02
425,2,2015-08-22 22:01:36,,STILL,"furniture_store,general_contractor,home_goods_store,store,point_of_interest,establishment",Partly Cloudy,26.1,1.1,0.0,0.0,15.0,615.0,22:01:36
426,2,2015-08-23 00:33:05,,STILL,"university,point_of_interest,establishment",Clear,21.8,3.0,0.0,0.0,54.0,5094.0,00:33:05
427,2,2015-08-23 13:32:48,,STILL,"university,point_of_interest,establishment",Clear,20.9,3.0,0.0,0.0,0.0,0.0,13:32:48
428,2,2015-08-23 17:01:39,,STILL,"electronics_store,store,point_of_interest,establishment",Mostly Cloudy,24.7,6.0,15.0,0.0,4.0,133.0,17:01:39
429,2,2015-08-23 19:02:50,,UNKNOWN,"electronics_store,store,point_of_interest,establishment",Partly Cloudy,25.9,8.0,15.0,0.0,9.0,396.0,19:02:50
437,2,2015-08-25 13:31:37,,STILL,"university,point_of_interest,establishment",Overcast,14.2,3.0,5.0,0.0,0.0,0.0,13:31:37
439,2,2015-08-25 19:01:36,,STILL,"university,point_of_interest,establishment",Overcast,15.9,3.0,0.0,0.0,1.0,55.0,19:01:36
442,2,2015-08-26 13:32:16,,STILL,"university,point_of_interest,establishment",Overcast,15.3,3.0,0.0,0.0,0.0,0.0,13:32:16
444,2,2015-08-26 19:01:44,,STILL,"university,point_of_interest,establishment",Overcast,18.7,2.0,0.0,0.0,3.0,202.0,19:01:44
447,2,2015-08-27 13:31:32,,STILL,"university,point_of_interest,establishment",Overcast,15.8,1.0,0.0,0.0,0.0,0.0,13:31:32
448,2,2015-08-27 17:01:33,,STILL,"university,point_of_interest,establishment",Overcast,17.9,2.0,0.0,0.0,4.0,170.0,17:01:33
449,2,2015-08-27 19:03:56,,STILL,"university,point_of_interest,establishment",Overcast,19.5,0.7,0.0,0.0,0.0,0.0,19:03:56
451,2,2015-08-28 00:32:23,,STILL,"university,point_of_interest,establishment",Overcast,17.3,0.0,0.0,0.0,0.0,0.0,00:32:23
